symbol,1h_EMA21_SLOPE_BPS,1h_SMA40_SLOPE_BPS,1h_SMA50_SLOPE_BPS,1h_SMA150_SLOPE_BPS,4h_EMA21_SLOPE_BPS,4h_SMA40_SLOPE_BPS,4h_SMA50_SLOPE_BPS,4h_SMA150_SLOPE_BPS,1d_EMA21_SLOPE_BPS,1d_SMA40_SLOPE_BPS,1d_SMA50_SLOPE_BPS,1d_SMA150_SLOPE_BPS,1h_ma21_dir,1h_ma40_dir,1h_ma50_dir,1h_ma150_dir,4h_ma21_dir,4h_ma40_dir,4h_ma50_dir,4h_ma150_dir,1d_ma21_dir,1d_ma40_dir,1d_ma50_dir,1d_ma150_dir
ADAUSDT,-584.7127139510644,-434.7027356056469,-393.51662694986095,158.11276002241323,582.1647855655916,579.8000546169092,398.58839618576746,-68.84841000308725,2388.5097188049085,1869.3564802598892,1652.3499374162327,-175.0455646728793,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↓
ADXUSDT,-780.0951164900159,-718.3639175848315,-748.3461962513785,-175.24098230460243,-951.6861711179231,-712.2622420072842,-767.7059192210718,-635.4206941321919,2957.9301845154378,2969.9347663866347,2991.2574077333793,-964.475982050092,↓,↓,↓,↓,↓,↓,↓,↓,↑,↑,↑,↓
AEVOUSDT,-832.5494582060635,-710.4283283604171,-703.9411206077857,80.88860835917366,463.1285084297217,692.3643506015226,532.0241304068805,-409.3122649844852,-968.8503179938109,-1695.945799222599,-1656.1356834053881,-3128.726177269078,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
AGLDUSDT,-571.4795222502859,-486.4322328565778,-454.5061532697337,4.699754242019201,-364.3170812108897,-103.5083896273705,-168.50685010694266,-405.0054958992135,-2037.0779728539426,-2531.008690505019,-2470.5602216642123,-2875.47405684475,↓,↓,↓,→,↓,↓,↓,↓,↓,↓,↓,↓
AIUSDT,-851.1796020260734,-810.4109220525913,-749.7660794922916,-32.81667161079799,1016.8983233427936,1427.9156104668534,1491.1819528748256,469.9024820354708,-1155.7442140994456,-2286.856127886323,-2376.346501755921,-4236.130667417629,↓,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓
AIXBTUSDT,-890.8555708695028,-672.7665261642856,-617.0728468025774,116.9550568214262,879.5702743409034,1105.0609339273515,883.1106251274173,-615.7968233784802,-3887.749087796045,-4051.3200098692323,-3544.6951918050486,-3456.9720283627876,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
ALCXUSDT,-446.1054469672749,-274.84035759897847,-240.6027386011363,90.91224058483101,-358.2341928662482,-325.4364089775561,-469.74443853323163,-505.60522852085546,122.75062635713722,207.58951341425913,113.41649170474555,-1717.3397662521306,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↓
ALGOUSDT,-615.342872870223,-479.2922713363827,-458.714105844603,98.47534632215572,-35.53096634089082,-137.0003067171054,-318.29982101681964,-630.9438246721451,1841.202232614459,1526.2476829993361,1463.8130417834543,-821.383596701467,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↓
ALICEUSDT,-899.2670861407634,-723.0252273281086,-677.735747653893,59.74807674253441,-52.72863119945982,282.5933373186261,84.74168488924637,-489.3329889695259,-1460.6193089013652,-1803.5294054292735,-1791.1476667083182,-3010.513539558319,↓,↓,↓,↑,↓,↑,↑,↓,↓,↓,↓,↓
ALPINEUSDT,-53.053942255628314,13.988526841287285,35.29024425376212,-85.3787972638624,742.5032921234181,781.9273319020342,737.686991514304,1135.1038145823272,13575.01388195689,10764.28887904298,9078.562521256095,1846.3422923333983,↓,→,↑,↓,↑,↑,↑,↑,↑,↑,↑,↑
ALTUSDT,-608.5375374926033,-494.6868801360155,-479.169280248166,128.92715939728015,97.90479114034332,324.8910266045388,165.35493781397136,-565.7608870350142,1640.8185526140478,898.7996951606734,892.0650253568391,-2453.605716186017,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↓
AMPUSDT,-329.43680900745045,-184.2773099550145,-135.36006124259936,151.44070128542887,-52.517557623972124,-137.35554727152697,-303.73501270277734,-529.7174766406798,-1788.6429854752841,-1886.4958884952969,-1779.051141590896,-2111.9365123885805,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
ANIMEUSDT,-597.4501770151427,-444.01397172099075,-426.7640441149343,81.71994218681738,-55.63160676657994,-4.690798217497029,-138.45621322256744,-764.0157369678238,-4639.843756417686,-3477.109795639111,-3091.4408789587906,-1191.4402032816781,↓,↓,↓,↑,↓,→,↓,↓,↓,↓,↓,↓
ANKRUSDT,-451.235315466171,-359.92466321905073,-349.6897913141547,61.7880235664754,-69.72439290611851,95.8026955766987,33.195344841053334,-379.1113602738181,-1052.800107951302,-1543.8381361128154,-1652.1422216505339,-2100.31625833779,↓,↓,↓,↑,↓,↑,↑,↓,↓,↓,↓,↓
APEUSDT,-693.166642102865,-591.0587055502976,-568.9025499727084,-76.54465012876778,263.5623074487588,436.5806827166171,328.8828543411044,-313.2752159608733,-1185.5363689418057,-610.5465154986405,-326.52250762515223,-448.0068009875454,↓,↓,↓,↓,↑,↑,↑,↓,↓,↓,↓,↓
API3USDT,-829.341501704353,-729.2856228556518,-701.0044278629013,-344.81312358987907,-1687.033436248454,-1710.6765705911716,-1950.1059813207924,211.22093633179318,3467.986457554115,3142.49138666751,2291.7310371026983,-917.9378531073452,↓,↓,↓,↓,↓,↓,↓,↑,↑,↑,↑,↓
APTUSDT,-500.96900194416537,-384.896082959349,-361.2796469939336,116.66978484564876,301.9199060756109,381.5566543342222,225.1429352406552,-368.757658081819,-1055.1032417686336,-1366.1986709176824,-1486.9097165266007,-1777.9270417435234,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
ARBUSDT,-974.4598156836007,-847.482788695281,-789.7157128116178,-25.84621566072164,-85.9456968246056,72.57418586024606,-190.58432651568285,191.9995330673245,3982.1962484618466,3597.3995665944294,3295.588492098139,-365.46787462578715,↓,↓,↓,↓,↓,↑,↓,↑,↑,↑,↑,↓
ARDRUSDT,-363.46642418022697,-226.56247782486213,-170.089330614709,167.31458042573828,180.17311951049865,186.91234123543856,73.93201589815929,-630.7141543124619,-557.2132332369707,-1087.8045227228774,-1219.2542584534947,1322.73847702503,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↑
ARKMUSDT,-698.7267544481131,-688.908310217731,-690.0341963849554,442.49827149112724,2525.4604708624915,2731.064984671055,2485.155569630275,346.79292704908397,26.898478353645768,-1144.1005409362667,-1229.6838426795916,-2077.8718632795876,↓,↓,↓,↑,↑,↑,↑,↑,↑,↓,↓,↓
ARKUSDT,-220.68749684738273,-172.21683837820635,-112.22992769049134,331.1940440285912,403.37786813254075,419.8434653532139,270.6462515271222,-39.68136016407458,1725.3966309246375,997.99714577961,671.9174906923735,129.21894362758084,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↑
ARPAUSDT,-217.40350647392245,-257.67787020910606,-255.2333263787466,80.5762098224554,159.53423404514146,181.66979697701473,144.9676411515303,-159.78640377900933,-181.19245749857677,-795.6631716372244,-960.3082291363768,-2423.967629288842,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
ARUSDT,-891.5755536274964,-656.4705882352952,-584.9046380580853,145.988819073125,823.9951682978655,1010.9613107741646,810.1768314687854,-473.09450648280153,320.5325680709946,-333.52898525705126,-225.74123989218583,-1999.3217826076666,↓,↓,↓,↑,↑,↑,↑,↓,↑,↓,↓,↓
ASRUSDT,-489.44957129651175,-372.9869415267293,-318.0592139088604,-8.87431323411577,-545.0500896742044,-538.0337449335472,-796.6506298431818,-4258.358712749989,3712.6099322808523,9210.40856847227,13397.169126542463,8164.292613906915,↓,↓,↓,→,↓,↓,↓,↓,↑,↑,↑,↑
ASTRUSDT,-615.3592886671532,-429.32917952007017,-377.9879988195566,77.64899648896116,-137.68620835325927,-25.020936941034567,-212.60687233835108,-376.95051688195684,-1423.3347803625475,-1628.3677723167195,-1666.6895840495013,-2598.2110789964245,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
ATAUSDT,-777.8780259293152,-632.1238105197123,-627.6501952223028,-28.803650363610057,-89.81055631870821,124.93210211841372,1.7150452343182825,-496.41189515296026,-508.7083049840375,-1293.889964058612,-1533.5060821996678,-2547.3648635215995,↓,↓,↓,↓,↓,↑,→,↓,↓,↓,↓,↓
ATMUSDT,391.01553233013146,411.93181818181904,406.8425648702621,325.4799849416514,515.7360234319295,259.6211988218555,43.50232114858424,-1046.4102315667085,1555.4189624982384,1466.333536290914,1892.4489413528197,-893.7068227517965,↑,↑,↑,↑,↑,↑,↑,↓,↑,↑,↑,↓
ATOMUSDT,-594.8272832600904,-481.57996289032627,-458.8019746551986,26.68047321064155,23.729886335537,193.91771019677972,106.8024329646623,-43.1179572667373,220.73609383488707,-126.67595803757636,-142.07955582133366,-621.6806420549336,↓,↓,↓,↑,→,↑,↑,↓,↑,↓,↓,↓
AUCTIONUSDT,-463.3071100828949,-346.5183874636662,-323.6153971089811,-14.375290928508038,-283.4205898713671,-169.4700897938522,-234.04982607122133,-316.63753839635626,-1189.1870857258396,-1477.7868746498903,-1534.7898239551064,-2720.9732630215567,↓,↓,↓,→,↓,↓,↓,↓,↓,↓,↓,↓
AUDIOUSDT,-355.2048443460335,-275.6295855641477,-262.98194784934265,24.98177295535341,-252.99972696721068,-184.6311314069769,-280.98657508585535,-257.30180806675895,-1210.7426944978326,-1460.2949613580347,-1567.3981191222572,-2475.560450170474,↓,↓,↓,→,↓,↓,↓,↓,↓,↓,↓,↓
AUSDT,-391.4946519952558,-276.3284626042369,-210.28677734683362,137.89402064818168,-409.45595988015447,-334.2436985395437,-424.3598816263513,-576.8895367755224,569.8915785483243,10088.349258515404,13725.017852892172,26268.136225798935,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↑
AVAUSDT,-646.6409158386001,-511.75238946270935,-498.1917199065598,4.885781420413108,33.212256414536874,145.80586496931141,33.970932385261776,-438.40191093511703,-393.44447826997583,-791.5273588882103,-802.4432168584582,-1245.7046757383891,↓,↓,↓,→,↑,↑,↑,↓,↓,↓,↓,↓
AVAXUSDT,0.8830657720601159,256.4957264957269,237.78523949838933,848.5039863506958,2445.0201073029084,2289.185475139501,1975.3798015562595,802.0136274678312,2692.4266987572237,1422.8095672649029,1202.3855851290114,-539.4605956040622,→,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↓
AVNTUSDT,-9635.420181806232,-9657.722302244116,-9646.400103115862,-3768.9765752511435,-7004.284357473552,-2410.751122941275,-1507.2761348746972,-271.6059758268755,-331.50664565778504,649.325921091131,622.4301602671419,-593.3378483743003,↓,↓,↓,↓,↓,↓,↓,↓,↓,↑,↑,↓
AWEUSDT,826.7678572453768,1479.8478537079627,1709.7968551680601,2053.810953464723,3808.1306700886757,3164.645545702659,2563.864800436179,455.55239916280516,-9810.76889138457,-9953.207715259367,-9961.900585602372,-7508.283434037765,↑,↑,↑,↑,↑,↑,↑,↑,↓,↓,↓,↓
AXLUSDT,-513.1593605672709,-374.11908664486305,-359.4535432975369,135.1413095851249,418.17228786840815,584.2106119526851,536.0644597611872,-512.9724639563568,-536.1898705662718,-1134.5181870908937,-973.1610668975391,-1493.5252215861397,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
AXSUSDT,-770.6205921895278,-651.7763970398166,-608.3978650541453,2.0538044093612586,209.96299341354958,788.376432951213,722.397636993278,146.40210961760488,-586.9779754001275,-1206.8292594374311,-1141.3942904426992,-2901.194493707662,↓,↓,↓,→,↑,↑,↑,↑,↓,↓,↓,↓
BABYUSDT,-20.418827417063426,2.150001710229427,-68.7764392579519,150.71422941639352,913.7123650708575,653.4191023705702,457.25350014894434,-1227.5109196760147,-3641.2239954939623,-3655.5783793727187,-3467.3097142634106,-9572.02580011201,→,→,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
BANANAS31USDT,-453.3600261926878,-387.36234881597846,-431.35500643450825,-176.1583663605516,-1352.2243287583249,-1164.5577923876442,-1170.4571893904142,-782.8354910371213,438.7625091076561,1623.9626737630886,2112.001962036045,-7439.207308139197,↓,↓,↓,↓,↓,↓,↓,↓,↑,↑,↑,↓
BANANAUSDT,-584.5210234192423,-215.5570966250572,-102.23749266739124,601.1676051136183,871.1173571287368,792.7011294094222,414.352840666382,-1190.5188197039442,-43.8269347250946,105.70213945751357,477.2868816879618,-706.9660468333626,↓,↓,↓,↑,↑,↑,↑,↓,↓,↑,↑,↓
BANDUSDT,-915.9746069961172,-748.1508032193947,-728.2164202579448,-158.74279950094345,-1235.463308632601,-1300.0968906896858,-1676.9489624228836,-171.06001121704975,832.5925568023388,302.02987611545143,-161.9694660432463,-1689.5797948100796,↓,↓,↓,↓,↓,↓,↓,↓,↑,↑,↓,↓
BARUSDT,-266.24784355921145,-202.01359832635936,-192.34128786555266,-23.193316585850493,-375.58888436304477,-321.4832454499069,-434.39537541170995,-722.1606455378319,-1981.9460064647647,-2919.685411164067,-3184.1937103473447,-2145.5764137174806,↓,↓,↓,→,↓,↓,↓,↓,↓,↓,↓,↓
BATUSDT,-510.32644177724586,-427.9383251777323,-417.5981621234386,-10.927863539874611,224.18971894415506,454.88932013288183,404.2692509167112,66.98146658710283,1419.1626424514445,698.8209335999453,639.770959794084,-1046.383506635543,↓,↓,↓,→,↑,↑,↑,↑,↑,↑,↑,↓
BBUSDT,125.7985856193252,234.78856573457034,160.52832742264997,546.5790524851083,1674.6454324516624,1622.4889404597861,1261.761640275854,1125.7541593028227,1729.0302157603837,-244.61788277198818,-469.77849006925874,-2453.0743015733738,↑,↑,↑,↑,↑,↑,↑,↑,↑,↓,↓,↓
BCHUSDT,-39.263507954383066,0.0,4.096819256394198,76.54087986498072,936.7393093836702,903.0525656098033,695.8947011408833,107.9976003121919,4469.599058847258,4423.990351138964,4647.1936610233215,3410.2145897634705,↓,→,→,↑,↑,↑,↑,↑,↑,↑,↑,↑
BEAMXUSDT,-613.2392523573045,-486.33879781420814,-468.69182195586944,328.690728593337,531.0508355400045,648.7924964242491,440.60963484561756,-417.0169804410171,896.3862463396682,-72.9180327868856,-47.76866545958074,-2453.030601062187,↓,↓,↓,↑,↑,↑,↑,↓,↑,↓,↓,↓
BELUSDT,-569.2162938648933,-435.1186557123645,-421.34163643753874,164.27396913736376,226.70268407870157,385.0665372325366,262.25010429034495,-400.6319944623293,-1797.0062434437389,-2343.986562318755,-2584.6677469754254,-5170.838346426352,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
BERAUSDT,-563.829795250322,-349.2995077622099,-279.1104468993857,50.80372864095503,-1138.0484361599572,-940.8992546285157,-842.1028088228433,461.9920226602713,-1179.2533147823556,-2332.5778712332585,-2918.008609442656,-4055.746457570745,↓,↓,↓,↑,↓,↓,↓,↑,↓,↓,↓,↓
BICOUSDT,-672.9014193134424,-484.5497174461945,-449.8082213009954,162.6178813022758,-850.3001662945966,-772.2542827282234,-826.1896113330918,-726.6640172453244,-611.8164662652313,-1157.3928862681128,-1324.5153107447,-2675.1538203378464,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
BIFIUSDT,-473.8974009385747,-307.13772646252784,-282.46475865014907,67.94959559848854,-325.46089201155934,-240.6938732468627,-322.587408921738,-381.04592056517583,1177.2303336995153,457.27291537347367,533.4116838335593,-1389.1016276121281,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↓
BIGTIMEUSDT,-621.9742751608892,-523.6604974909617,-494.68037065804344,40.02933183798431,-274.84846941096623,-67.86699167211579,-100.2904007238134,-591.704484697883,-9196.996546157638,-2346.7675969443644,-2377.3150798453817,-9994.266227295528,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
BIOUSDT,190.81864516992275,494.96753246753275,531.5666610154015,455.1750838853981,-246.51923574470996,-813.1078344693831,-1656.252305033666,1232.036719947648,12619.616521252688,10775.15486355266,8576.635438321766,-2452.6118672964603,↑,↑,↑,↑,↓,↓,↓,↑,↑,↑,↑,↓
BLURUSDT,-386.2346352045472,-230.86825335803124,-235.34171673398373,349.3219436666659,913.3573811990232,1128.0187850087211,981.2252217498636,-209.5303638312561,-1341.4524803717156,-2155.010234915683,-2194.63641250096,-2858.9765431178607,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
BMTUSDT,-116.41054409416111,-15.409451130027568,14.757533720964974,231.09181215239354,100.28399407656943,42.389914123880665,-124.07450254511568,-1049.7660267245515,-3670.4438632893,-3580.2189847072655,-3435.88153767598,-466.03677978844564,↓,→,→,↑,↑,↑,↓,↓,↓,↓,↓,↓
BNBUSDT,245.82054480376354,288.4095544771939,281.1556588442152,390.83138520235076,901.0295177469213,777.080806935199,657.3919454120097,449.79133089812785,3647.358152756225,3355.4743794264737,3239.5510829865075,1509.5695108387827,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑
BNSOLUSDT,-240.03985017596574,-144.4363282201113,-58.499791353368266,697.4723715233921,1628.0122205561263,1732.9015006569668,1540.967614279535,1211.4900181606354,4082.927596605892,2760.012237583948,2547.7563150074297,754.5972870524105,↓,↓,↓,↑,↑,↑,↑,↑,↑,↑,↑,↑
BNTUSDT,-736.9953724755816,-614.5094572182686,-569.7049023656098,116.49568107025739,-285.3968899048081,-167.52749927311024,-347.46555898482956,-424.12847670100433,1447.9880803324847,1971.1901481360392,2606.6128716127546,2767.1825804945465,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↑
BOMEUSDT,-959.4634447777784,-704.8114732485761,-605.891334301569,261.53426508027167,442.3084954561899,556.3378510900452,218.2224575025006,330.03164967974345,342.9921085685085,-201.41959939053714,133.35141959785997,-1119.4500703501092,↓,↓,↓,↑,↑,↑,↑,↑,↑,↓,↑,↓
BONKUSDT,-901.3963361840185,-728.1524869238137,-637.8784024421275,490.95481972374114,847.443146532156,1382.8326779440167,1167.7294150263388,-565.6217725369123,3273.8969753485057,2076.034534869969,2573.46973644868,2340.1644844046555,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↑
BROCCOLI714USDT,727.0472584086099,738.7074290842785,620.0370515570118,779.2812199156456,1521.2858557535858,1070.8525523150115,771.4100696130814,-592.2305638131724,-708.8820770318748,-1891.265442561947,-938.2774999371732,10348.794515271853,↑,↑,↑,↑,↑,↑,↑,↓,↓,↓,↓,↑
BTCUSDT,38.13643096541022,44.526773088064026,49.77303307844954,207.94921662841497,606.655758968534,486.7160295639523,368.37968478227276,-236.5365373940186,805.6274394956448,968.1113049723738,1216.053511346083,1539.0093702682532,↑,↑,↑,↑,↑,↑,↑,↓,↑,↑,↑,↑
BTTCUSDT,-213.16761199989216,-142.0890937019962,-114.232787897498,66.39004149377652,-236.87620482870796,-245.56101246694294,-326.4450434261778,-351.6396681153687,-818.2716747096533,-922.8130360205828,-797.0008331019172,-1290.8748501968853,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
C98USDT,-536.2301056558101,-362.71697379296774,-335.963747167746,165.50441655044176,50.70409333098669,223.4608817917048,69.2096575315238,-452.29204633795234,-666.1519621275356,-1316.2118780096305,-1412.8606981906246,-3261.412117839496,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
CAKEUSDT,-225.49516359254545,-220.00232090360603,-224.02751515434548,182.89996181238857,77.66499448333467,-62.00367718968791,-222.05888042090734,-707.3065176264016,654.6184180760077,1193.8543206413262,1541.47014839526,1445.8281171070257,↓,↓,↓,↑,↑,↓,↓,↓,↑,↑,↑,↑
CATIUSDT,-714.5055157244684,-595.7674792392173,-591.3851315025488,108.58915741345466,-1507.6423652772398,-986.1849624807448,-907.0071378305006,-143.59877564644182,-1014.1331866039852,-1161.2624712202614,-1079.8565969349552,-3614.729574223245,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
CELOUSDT,-617.6940801125751,-455.3927467497233,-410.57257580068745,212.58898594033107,-255.1450379516625,-152.2299804994639,-297.8181140050967,-707.5352080334022,-849.2614409620036,-1180.9551208285382,-1099.2312990157977,-1696.5995444558669,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
CELRUSDT,-841.9080441140807,-752.3034260667326,-746.8939266990644,-133.11960422142036,68.85706055484673,279.25320441461685,221.3938493312851,-261.13860370452386,-1097.516932615738,-1703.749484960856,-1911.957144025516,-2301.327492207151,↓,↓,↓,↓,↑,↑,↑,↓,↓,↓,↓,↓
CETUSUSDT,-902.2195252331433,-793.8269374693543,-756.4721551652389,-145.46660832004068,-102.41737113837254,-51.38636120329818,-191.40871762476166,-892.7157172685083,-3509.2877366353378,-4436.504754267385,-4351.335284433875,-1798.9144594007814,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓,↓
CFXUSDT,-238.8160015434605,-101.97032083344766,-76.14692137774935,194.92417302028525,-579.3884756197988,-178.72049264454424,-230.9122730255978,-538.2603679705005,11660.010007289447,11313.146146616538,12361.753900472357,2502.857372019811,↓,↓,↓,↑,↓,↓,↓,↓,↑,↑,↑,↑
CGPTUSDT,-681.4312720411991,-569.3310360326614,-617.3382661733853,342.38404953279036,1390.259780146199,1221.7810878952107,1013.593380614655,-607.4047829938005,-2059.672911059505,-2539.0212177871717,-2243.7467276934244,-2508.6012806892722,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
CHESSUSDT,-842.502495176023,-333.8993766902688,-243.14127844218794,356.1189640408197,-110.51917325528461,231.93758869100577,78.2991724741031,-11.260086215422596,704.5184578385519,432.246815173298,286.06851735734745,-2357.5863256997804,↓,↓,↓,↑,↓,↑,↑,→,↑,↑,↑,↓
CHRUSDT,-678.7713081088833,-601.1719597771819,-611.2734379535199,-136.98270831011084,96.35028256796191,205.59273300934044,173.2433088056947,19.228555759427774,918.7535297760526,180.86257535940564,-3.921649569650186,-1951.9374496952971,↓,↓,↓,↓,↑,↑,↑,→,↑,↑,→,↓
CHZUSDT,-460.5885765808564,-397.96054656423087,-387.00008403910806,55.606161111869426,426.562996964653,643.206256109481,595.7840069513148,-55.71117081655882,191.50107739184475,-398.5558295174351,-403.9119064396071,-1915.059336297703,↓,↓,↓,↑,↑,↑,↑,↓,↑,↓,↓,↓
CITYUSDT,-301.18023136746973,-259.1438412333951,-237.12367663927506,109.72797935734387,-42.71154407385767,175.21419090141075,88.6058955524435,-499.309822508335,-158.62434643374593,-381.4732293565598,-431.69408885885935,-1554.8817532116077,↓,↓,↓,↑,↓,↑,↑,↓,↓,↓,↓,↓
CKBUSDT,-607.8964036852983,-346.14787602835304,-270.923511326799,374.28652613026475,583.0225613022681,741.0689728936823,606.2869693365107,-392.94541762389224,1436.659850636365,413.76359858207746,521.1922007831681,-1913.6595964351966,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↓
COMPUSDT,-513.2085297506336,-285.373513223691,-246.502273137369,201.50844845732254,308.300760138136,330.8216350123852,129.44588474293954,-761.0347304986709,115.98929591520981,586.6032729135626,647.522288072469,-791.5804334921633,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↓
COOKIEUSDT,-999.723317662278,-891.7321786658604,-819.4603903559135,1.68695143067984,270.25754308473336,405.47094771558886,275.94866925974674,-858.9370239326125,-4159.679351800068,-3526.6623410953307,-2939.9735602743112,-1435.5556296135842,↓,↓,↓,→,↑,↑,↑,↓,↓,↓,↓,↓
COSUSDT,-722.2145106374101,-633.2559734933069,-613.5238563353572,-93.13253918296537,-453.67126165137404,-212.07141913997648,-262.2620171848948,-328.89491692137216,60.93022117456307,-470.7036725539667,-444.6365713579929,-1980.7172675224592,↓,↓,↓,↓,↓,↓,↓,↓,↑,↓,↓,↓
COTIUSDT,199.22289774685055,247.6280196487445,195.59174331435023,366.04910907502693,133.32482682373305,79.35100841906623,-83.0397011026405,-472.5058048986843,-1752.0424220570444,-2552.324432652139,-2638.408473005652,-2226.319414445596,↑,↑,↑,↑,↑,↑,↓,↓,↓,↓,↓,↓
